x,y,z
49.9839,181.444,187.623
51.7042,181.6,187.619
53.4797,181.74,187.615
55.3164,181.871,187.612
57.2169,181.999,187.61
59.1819,182.126,187.609
61.2118,182.257,187.61
63.3051,182.391,187.611
65.4622,182.529,187.611
67.6832,182.67,187.614
69.9703,182.815,187.623
72.32,182.968,187.635
74.7342,183.131,187.648
77.2134,183.302,187.662
79.7572,183.482,187.677
82.3661,183.67,187.691
85.0409,183.865,187.706
87.7816,184.067,187.724
90.5862,184.277,187.74
93.4557,184.495,187.757
96.3895,184.721,187.774
99.3591,184.955,187.792
102.321,185.195,187.81
105.298,185.44,187.829
108.352,185.693,187.849
111.481,185.956,187.87
114.665,186.227,187.89
117.9,186.506,187.912
121.183,186.792,187.938
124.515,187.083,187.962
127.897,187.38,187.987
131.327,187.682,188.014
134.806,187.989,188.046
138.326,188.3,188.077
141.841,188.611,188.11
145.299,188.917,188.151
148.693,189.218,188.195
152.025,189.513,188.241
155.298,189.803,188.293
158.502,190.087,188.344
161.634,190.364,188.399
164.695,190.634,188.454
167.677,190.894,188.509
170.562,191.138,188.564
173.343,191.363,188.615
176.014,191.564,188.662
178.573,191.733,188.704
181.022,191.865,188.743
183.358,191.959,188.781
185.586,192.014,188.818
187.76,192.009,188.852
189.91,191.916,188.887
192.003,191.732,188.919
194.013,191.462,188.947
195.95,191.094,188.976
197.824,190.626,189.002
199.639,190.054,189.025
201.397,189.382,189.044
203.096,188.609,189.06
204.733,187.736,189.076
206.3,186.765,189.094
207.794,185.7,189.113
209.21,184.547,189.133
210.546,183.307,189.153
211.799,181.986,189.172
212.963,180.589,189.191
214.035,179.121,189.209
215.009,177.594,189.226
215.876,176.021,189.242
216.631,174.409,189.26
217.294,172.773,189.277
217.887,171.131,189.294
218.417,169.49,189.307
218.97,167.877,189.317
219.608,166.316,189.33
220.33,164.816,189.349
221.117,163.37,189.37
221.953,161.969,189.392
222.784,160.58,189.415
223.576,159.166,189.438
224.345,157.727,189.462
225.109,156.267,189.485
